year,type,region_name,10th_share,10th_share_zero
2019,City,Республика Тыва,49,0.51
2019,City,Республика Хакасия,53,0.47
2019,City,Ростовская область,46,0.54
2019,City,Рязанская область,54,0.46
2019,City,Самарская область,51,0.49
2019,City,Санкт-Петербург,71,0.29
2019,City,Саратовская область,53,0.47
2019,City,Сахалинская область,57,0.43
2019,City,Свердловская область,49,0.51
2019,City,Севастополь,56,0.44
2019,City,Смоленская область,53,0.47
2019,City,Ставропольский край,51,0.49
2019,City,Тамбовская область,52,0.48
2019,City,Тверская область,50,0.5
2019,City,Томская область,62,0.38
2019,City,Тульская область,54,0.46
2019,City,Тюменская область,71,0.29
2019,City,Удмуртская Республика,46,0.54
2019,City,Ульяновская область,52,0.48
2019,City,Хабаровский край,52,0.48
2019,City,Ханты-Мансийский автономный округ — Югра,61,0.39
2019,City,Челябинская область,46,0.54
2019,City,Чеченская Республика,48,0.52
2019,City,Чувашская Республика — Чувашия,48,0.52
2019,City,Чукотский автономный округ,75,0.25
2019,City,Ямало-Ненецкий автономный округ,60,0.4
2019,City,Ярославская область,51,0.49
2020,City,Алтайский край,52,0.48
2020,City,Амурская область,48,0.52
2020,City,Архангельская область,50,0.5
2020,City,Астраханская область,43,0.57
2020,City,Белгородская область,43,0.57
2020,City,Брянская область,51,0.49
2020,City,Владимирская область,46,0.54
2020,City,Волгоградская область,48,0.52
2020,City,Вологодская область,41,0.59
2020,City,Воронежская область,52,0.48
2020,City,Еврейская автономная область,56,0.44
2020,City,Забайкальский край,48,0.52
2020,City,Ивановская область,45,0.55
2020,City,Иркутская область,53,0.47
2020,City,Кабардино-Балкарская Республика,60,0.4
2020,City,Калининградская область,51,0.49
2020,City,Калужская область,50,0.5
2020,City,Камчатский край,49,0.51
2020,City,Карачаево-Черкесская Республика,42,0.58
2020,City,Кемеровская область,38,0.62
2020,City,Кировская область,48,0.52
2020,City,Костромская область,48,0.52
2020,City,Краснодарский край,48,0.52
2020,City,Красноярский край,58,0.42
2020,City,Курганская область,42,0.58
2020,City,Курская область,46,0.54
2020,City,Ленинградская область,43,0.57
2020,City,Липецкая область,46,0.54
2020,City,Магаданская область,52,0.48
2020,City,Москва,72,0.28
2020,City,Московская область,49,0.51
2020,City,Мурманская область,46,0.54
2020,City,Ненецкий автономный округ,58,0.42
2020,City,Нижегородская область,47,0.53
2020,City,Новгородская область,47,0.53
2020,City,Новосибирская область,56,0.44
2020,City,Омская область,47,0.53
2020,City,Оренбургская область,40,0.6
2020,City,Орловская область,47,0.53
2020,City,Пензенская область,49,0.51
2020,City,Пермский край,44,0.56
2020,City,Приморский край,53,0.47
2020,City,Псковская область,51,0.49
2020,City,Республика Адыгея,44,0.56
2020,City,Республика Алтай,56,0.44
2020,City,Республика Башкортостан,45,0.55
2020,City,Республика Бурятия,54,0.46
2020,City,Республика Дагестан,39,0.61
2020,City,Республика Ингушетия,50,0.5
2020,City,Республика Калмыкия,61,0.39
2020,City,Республика Карелия,57,0.43
2020,City,Республика Коми,48,0.52
2020,City,Республика Крым,53,0.47
2020,City,Республика Марий Эл,44,0.56
2020,City,Республика Мордовия,50,0.5
2020,City,Республика Саха (Якутия),64,0.36
2020,City,Республика Северная Осетия — Алания,47,0.53
2020,City,Республика Татарстан,47,0.53
2020,City,Республика Тыва,56,0.44
2020,City,Республика Хакасия,50,0.5
2020,City,Ростовская область,43,0.57
2020,City,Рязанская область,49,0.51
2020,City,Самарская область,46,0.54
2020,City,Санкт-Петербург,70,0.3
2020,City,Саратовская область,50,0.5
2020,City,Сахалинская область,58,0.42
2020,City,Свердловская область,45,0.55
2020,City,Севастополь,57,0.43
2020,City,Смоленская область,51,0.49
2020,City,Ставропольский край,46,0.54
2020,City,Тамбовская область,48,0.52
2020,City,Тверская область,46,0.54
2020,City,Томская область,59,0.41
2020,City,Тульская область,51,0.49
2020,City,Тюменская область,67,0.33
2020,City,Удмуртская Республика,43,0.57
2020,City,Ульяновская область,49,0.51
2020,City,Хабаровский край,49,0.51
2020,City,Ханты-Мансийский автономный округ — Югра,57,0.43
2020,City,Челябинская область,43,0.57
2020,City,Чеченская Республика,46,0.54
2020,City,Чувашская Республика — Чувашия,43,0.57
2020,City,Чукотский автономный округ,72,0.28
2020,City,Ямало-Ненецкий автономный округ,55,0.45
2020,City,Ярославская область,47,0.53
2021,City,Алтайский край,55,0.45
2021,City,Амурская область,47,0.53
2021,City,Архангельская область,53,0.47
2021,City,Астраханская область,47,0.53
2021,City,Белгородская область,44,0.56
2021,City,Брянская область,54,0.46
2021,City,Владимирская область,47,0.53
2021,City,Волгоградская область,50,0.5
2021,City,Вологодская область,41,0.59
2021,City,Воронежская область,54,0.46
2021,City,Еврейская автономная область,59,0.41
2021,City,Забайкальский край,50,0.5
2021,City,Ивановская область,48,0.52
2021,City,Иркутская область,54,0.46
2021,City,Кабардино-Балкарская Республика,64,0.36
2021,City,Калининградская область,52,0.48
2021,City,Калужская область,51,0.49
2021,City,Камчатский край,55,0.45
2021,City,Карачаево-Черкесская Республика,41,0.59
2021,City,Кемеровская область,40,0.6
2021,City,Кировская область,53,0.47
2021,City,Костромская область,50,0.5
2021,City,Краснодарский край,50,0.5
2021,City,Красноярский край,59,0.41
2021,City,Курганская область,49,0.51
2021,City,Курская область,49,0.51
2021,City,Ленинградская область,47,0.53
2021,City,Липецкая область,52,0.48
2021,City,Магаданская область,54,0.46
2021,City,Москва,73,0.27
2021,City,Московская область,49,0.51
2021,City,Мурманская область,46,0.54
2021,City,Ненецкий автономный округ,59,0.41
2021,City,Нижегородская область,48,0.52
2021,City,Новгородская область,45,0.55
2021,City,Новосибирская область,59,0.41
2021,City,Омская область,49,0.51
2021,City,Оренбургская область,44,0.56
2021,City,Орловская область,49,0.51
2021,City,Пензенская область,51,0.49
2021,City,Пермский край,47,0.53
2021,City,Приморский край,55,0.45
2021,City,Псковская область,54,0.46
2021,City,Республика Адыгея,47,0.53
2021,City,Республика Алтай,58,0.42
2021,City,Республика Башкортостан,46,0.54
2021,City,Республика Бурятия,57,0.43
2021,City,Республика Дагестан,41,0.59
2021,City,Республика Ингушетия,51,0.49
2021,City,Республика Калмыкия,64,0.36
2021,City,Республика Карелия,59,0.41
2021,City,Республика Коми,52,0.48
2021,City,Республика Крым,55,0.45
2021,City,Республика Марий Эл,45,0.55
2021,City,Республика Мордовия,49,0.51
2021,City,Республика Саха (Якутия),66,0.34
2021,City,Республика Северная Осетия — Алания,51,0.49
2021,City,Республика Татарстан,49,0.51
2021,City,Республика Тыва,76,0.24
2021,City,Республика Хакасия,52,0.48
2021,City,Ростовская область,47,0.53
2021,City,Рязанская область,49,0.51
2021,City,Самарская область,48,0.52
2021,City,Санкт-Петербург,71,0.29
2021,City,Саратовская область,52,0.48
2021,City,Сахалинская область,63,0.37
2021,City,Свердловская область,47,0.53
2021,City,Севастополь,56,0.44
2021,City,Смоленская область,56,0.44
2021,City,Ставропольский край,47,0.53
2021,City,Тамбовская область,48,0.52
2021,City,Тверская область,49,0.51
2021,City,Томская область,68,0.32
2021,City,Тульская область,51,0.49
2021,City,Тюменская область,73,0.27
2021,City,Удмуртская Республика,44,0.56
2021,City,Ульяновская область,51,0.49
2021,City,Хабаровский край,52,0.48
2021,City,Ханты-Мансийский автономный округ — Югра,59,0.41
2021,City,Челябинская область,47,0.53
2021,City,Чеченская Республика,50,0.5
2021,City,Чувашская Республика — Чувашия,44,0.56
2021,City,Чукотский автономный округ,75,0.25
2021,City,Ямало-Ненецкий автономный округ,56,0.44
2021,City,Ярославская область,49,0.51
2022,City,Алтайский край,49,0.51
2022,City,Амурская область,46,0.54
2022,City,Архангельская область,47,0.53
2022,City,Астраханская область,42,0.58
2022,City,Белгородская область,41,0.59
2022,City,Брянская область,51,0.49
2022,City,Владимирская область,44,0.56
2022,City,Волгоградская область,47,0.53
2022,City,Вологодская область,38,0.62
2022,City,Воронежская область,50,0.5
2022,City,Еврейская автономная область,56,0.44
2022,City,Забайкальский край,47,0.53
2022,City,Ивановская область,45,0.55
2022,City,Иркутская область,52,0.48
2022,City,Кабардино-Балкарская Республика,59,0.41
2022,City,Калининградская область,49,0.51
2022,City,Калужская область,48,0.52
2022,City,Камчатский край,51,0.49
2022,City,Карачаево-Черкесская Республика,42,0.58
2022,City,Кемеровская область,37,0.63
2022,City,Кировская область,49,0.51
2022,City,Костромская область,47,0.53
2022,City,Краснодарский край,48,0.52
2022,City,Красноярский край,57,0.43
2022,City,Курганская область,44,0.56
2022,City,Курская область,47,0.53
